15 40
I2 1 0
I2 5 0
I2 9 0
I2 13 0
I2 25 0
I2 29 0
I2 33 0
I2 37 0
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 0
O 39 0
O 3 0
O 37 0
O 5 0
O 35 0
O 7 0
O 33 0
O 9 0
O 31 0
O 11 0
O 29 0
O 13 0
O 27 0
O 15 0
O 25 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0

I2 1 0
I2 5 0
I2 9 0
I2 13 0
I2 25 0
I2 29 0
I2 33 0
I2 37 0
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 0
O 39 0
O 3 0
O 37 0
O 5 0
O 35 0
O 7 0
O 33 0
O 9 0
O 31 0
O 11 0
O 29 0
O 13 0
O 27 0
O 15 0
O 25 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0

I2 1 0
I2 5 0
I2 9 0
I2 13 0
I2 25 0
I2 29 0
I2 33 0
I2 37 0
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 0
O 39 0
O 3 0
O 37 0
O 5 0
O 35 0
O 7 0
O 33 0
O 9 0
O 31 0
O 11 0
O 29 0
O 13 0
O 27 0
O 15 0
O 25 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0

I2 1 0
I2 5 0
I2 9 0
I2 13 0
I2 25 0
I2 29 0
I2 33 0
I2 37 0
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 0
O 39 0
O 3 0
O 37 0
O 5 0
O 35 0
O 7 0
O 33 0
O 9 0
O 31 0
O 11 0
O 29 0
O 13 0
O 27 0
O 15 0
O 25 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0

I2 1 0
I2 5 0
I2 9 0
I2 13 0
I2 25 0
I2 29 0
I2 33 0
I2 37 0
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 0
O 39 0
O 3 0
O 37 0
O 5 0
O 35 0
O 7 0
O 33 0
O 9 0
O 31 0
O 11 0
O 29 0
O 13 0
O 27 0
O 15 0
O 25 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0

I2 1 0
I2 5 0
I2 9 0
I2 13 0
I2 25 0
I2 29 0
I2 33 0
I2 37 0
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 0
O 39 0
O 3 0
O 37 0
O 5 0
O 35 0
O 7 0
O 33 0
O 9 0
O 31 0
O 11 0
O 29 0
O 13 0
O 27 0
O 15 0
O 25 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0

I2 1 0
I2 5 0
I2 9 0
I2 13 0
I2 25 0
I2 29 0
I2 33 0
I2 37 0
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 38
O 39 -38
O 1 36
O 39 -36
O 1 34
O 39 -34
O 1 32
O 39 -32
O 1 30
O 39 -30
O 1 28
O 39 -28
O 1 26
O 39 -26
O 1 24
O 39 -24
O 1 0
O 39 0
O 3 0
O 37 0
O 5 0
O 35 0
O 7 0
O 33 0
O 9 0
O 31 0
O 11 0
O 29 0
O 13 0
O 27 0
O 15 0
O 25 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
I2 17 0
I2 21 0
End


 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0

測試大規模會不會太久
